sequence,open_time_china,close,ema9,ema26,crossover_type,price_diff_abs,prev_crossover_time
218,2023-04-15 04:30:00,2105.57,2089.929889668622,2087.614509932647,金叉,47.23000000000002,2023-04-14 23:30:00
232,2023-04-20 21:00:00,1965.99,1957.4829120726436,1957.401208955227,金叉,122.83000000000015,2023-04-19 12:00:00
236,2023-04-22 23:00:00,1865.8,1857.1220934412852,1856.7644203083216,金叉,72.71000000000004,2023-04-21 12:30:00
246,2023-04-27 10:30:00,1909.21,1898.1988094998355,1898.0814870795134,金叉,80.47000000000003,2023-04-27 03:30:00
256,2023-05-02 16:00:00,1835.96,1831.6498936816115,1830.9927417751248,金叉,55.76999999999998,2023-05-01 04:00:00
265,2023-05-06 13:30:00,1959.93,1970.5192017712093,1971.2909068975237,死叉,62.710000000000036,2023-05-05 10:00:00
266,2023-05-07 16:00:00,1908.2,1901.710689618985,1900.8020405513275,金叉,51.73000000000002,2023-05-06 13:30:00
267,2023-05-08 07:30:00,1870.4,1903.6115306102788,1908.2759185857742,死叉,37.799999999999955,2023-05-07 16:00:00
274,2023-05-13 03:30:00,1790.01,1771.8051207965539,1770.8088760578719,金叉,40.40000000000009,2023-05-11 01:30:00
297,2023-05-24 02:30:00,1845.37,1849.727839717575,1849.84286986195,死叉,36.38999999999987,2023-05-22 14:30:00
300,2023-05-25 20:00:00,1802.49,1789.2027586350384,1788.311145203658,金叉,42.77999999999997,2023-05-24 09:30:00
305,2023-05-29 23:30:00,1889.41,1895.8864775912632,1896.6053868641427,死叉,45.430000000000064,2023-05-29 00:30:00
318,2023-06-06 22:00:00,1831.72,1816.5789084788335,1816.2127111511727,金叉,55.700000000000045,2023-06-05 07:00:00
324,2023-06-11 12:30:00,1754.01,1749.5971234033018,1749.4184584875686,金叉,87.25,2023-06-10 01:00:00
342,2023-06-16 02:30:00,1669.21,1650.0857004545903,1648.628668386306,金叉,71.75999999999999,2023-06-14 23:00:00
345,2023-06-18 00:30:00,1730.08,1733.6650770213325,1733.7012994412573,死叉,58.710000000000036,2023-06-16 22:30:00
359,2023-06-22 20:30:00,1898.01,1900.1475987934357,1900.3535149117595,死叉,156.68000000000006,2023-06-21 00:00:00
377,2023-06-27 00:30:00,1852.54,1880.4528072808446,1884.519179181919,死叉,52.51999999999998,2023-06-26 21:30:00
