sequence,open_time_china,close,ema9,ema26,crossover_type,price_diff_abs,prev_crossover_time
11,2023-01-05 14:30:00,1250.97,1252.7944369826093,1253.0587098016022,死叉,36.42000000000007,2023-01-04 07:30:00
25,2023-01-10 07:30:00,1320.39,1323.1209131959188,1323.2206567597334,死叉,56.25,2023-01-08 22:00:00
33,2023-01-12 23:30:00,1386.07,1389.9338324195523,1390.2424008017645,死叉,45.75999999999999,2023-01-12 03:00:00
39,2023-01-15 10:30:00,1522.23,1530.9980282790489,1532.1852831595015,死叉,99.0,2023-01-13 23:00:00
51,2023-01-18 23:30:00,1549.75,1579.9318525780263,1580.4489003601063,死叉,44.49000000000001,2023-01-18 21:30:00
53,2023-01-22 06:30:00,1628.96,1651.1059580126098,1651.6899343905172,死叉,89.28999999999996,2023-01-19 23:00:00
62,2023-01-26 03:30:00,1561.48,1553.256090732579,1552.975186546283,金叉,56.460000000000036,2023-01-24 17:30:00
72,2023-01-31 18:00:00,1573.5,1571.925910952554,1571.6838148055508,金叉,53.950000000000045,2023-01-30 15:30:00
78,2023-02-02 03:30:00,1617.48,1585.8062026838486,1581.7177915918232,金叉,39.38000000000011,2023-02-02 00:00:00
87,2023-02-07 07:00:00,1611.77,1634.5248944592454,1637.0074010646138,死叉,37.24000000000001,2023-02-06 23:30:00
92,2023-02-08 01:30:00,1671.74,1642.0876823178467,1638.403736728632,金叉,41.15000000000009,2023-02-07 23:30:00
94,2023-02-11 21:30:00,1523.15,1520.7224314451146,1520.5882444498995,金叉,138.82999999999993,2023-02-08 23:00:00
101,2023-02-17 06:00:00,1669.83,1688.32222116177,1690.8631699565844,死叉,162.1099999999999,2023-02-14 07:00:00
128,2023-02-26 10:30:00,1603.82,1593.2050247372786,1592.2006960970818,金叉,43.799999999999955,2023-02-24 17:30:00
137,2023-03-03 09:00:00,1600.24,1635.8135134915378,1638.7496421703877,死叉,48.190000000000055,2023-03-03 04:00:00
158,2023-03-11 04:00:00,1421.1,1413.359582914523,1412.7670452081313,金叉,131.92000000000007,2023-03-09 05:30:00
162,2023-03-13 01:00:00,1507.71,1468.7540624166754,1463.0872462022696,金叉,51.24000000000001,2023-03-12 22:00:00
163,2023-03-15 05:30:00,1695.37,1711.6915135340846,1713.4255286456334,死叉,187.65999999999985,2023-03-13 01:00:00
164,2023-03-16 16:00:00,1651.83,1650.7974855231923,1650.725354779349,金叉,43.539999999999964,2023-03-15 05:30:00
167,2023-03-19 00:00:00,1773.24,1800.636005138385,1802.3190008516701,死叉,120.00999999999999,2023-03-16 17:30:00
178,2023-03-23 17:00:00,1751.61,1748.1490966074948,1747.982583076921,金叉,35.350000000000136,2023-03-23 02:00:00
179,2023-03-24 17:00:00,1799.54,1806.4174915260905,1806.8598334682883,死叉,47.930000000000064,2023-03-23 17:00:00
180,2023-03-26 00:00:00,1756.39,1751.2099328848542,1750.6218973746,金叉,43.149999999999864,2023-03-24 17:00:00
189,2023-03-30 06:00:00,1792.39,1800.6530396407236,1801.1630557622861,死叉,60.16000000000008,2023-03-28 14:00:00
191,2023-03-30 11:00:00,1782.47,1797.4431005208903,1798.5181263474765,死叉,34.32999999999993,2023-03-30 10:30:00
205,2023-04-06 00:00:00,1894.74,1902.815156616423,1903.7214307230545,死叉,88.43000000000006,2023-04-04 06:30:00
215,2023-04-12 00:00:00,1906.78,1913.6424548125196,1913.7474356506011,死叉,44.23000000000002,2023-04-10 23:00:00
217,2023-04-14 23:30:00,2058.34,2088.024269585738,2090.8458692388135,死叉,172.01000000000022,2023-04-12 21:30:00
