sequence,open_time_china,close,ema9,ema26,crossover_type,price_diff_abs,sequence_interval,time_interval_days,time_interval_hours
11,2023-01-05 14:30:00,1250.97,1252.7944369826093,1253.0587098016022,死叉,36.42000000000007,0,0.0,0.0
25,2023-01-10 07:30:00,1320.39,1323.1209131959188,1323.2206567597334,死叉,56.25,14,4.708333333333333,113.0
33,2023-01-12 23:30:00,1386.07,1389.9338324195523,1390.2424008017645,死叉,45.75999999999999,8,2.6666666666666665,64.0
39,2023-01-15 10:30:00,1522.23,1530.9980282790489,1532.1852831595015,死叉,99.0,6,2.4583333333333335,59.0
51,2023-01-18 23:30:00,1549.75,1579.9318525780263,1580.4489003601063,死叉,44.49000000000001,12,3.5416666666666665,85.0
53,2023-01-22 06:30:00,1628.96,1651.1059580126098,1651.6899343905172,死叉,89.28999999999996,2,3.2916666666666665,79.0
62,2023-01-26 03:30:00,1561.48,1553.256090732579,1552.975186546283,金叉,56.460000000000036,9,3.875,93.0
72,2023-01-31 18:00:00,1573.5,1571.925910952554,1571.6838148055508,金叉,53.950000000000045,10,5.604166666666667,134.5
78,2023-02-02 03:30:00,1617.48,1585.8062026838486,1581.7177915918232,金叉,39.38000000000011,6,1.3958333333333333,33.5
87,2023-02-07 07:00:00,1611.77,1634.5248944592454,1637.0074010646138,死叉,37.24000000000001,9,5.145833333333333,123.5
92,2023-02-08 01:30:00,1671.74,1642.0876823178467,1638.403736728632,金叉,41.15000000000009,5,0.7708333333333334,18.5
94,2023-02-11 21:30:00,1523.15,1520.7224314451146,1520.5882444498995,金叉,138.82999999999993,2,3.8333333333333335,92.0
101,2023-02-17 06:00:00,1669.83,1688.32222116177,1690.8631699565844,死叉,162.1099999999999,7,5.354166666666667,128.5
128,2023-02-26 10:30:00,1603.82,1593.2050247372786,1592.2006960970818,金叉,43.799999999999955,27,9.1875,220.5
137,2023-03-03 09:00:00,1600.24,1635.8135134915378,1638.7496421703877,死叉,48.190000000000055,9,4.9375,118.5
158,2023-03-11 04:00:00,1421.1,1413.359582914523,1412.7670452081313,金叉,131.92000000000007,21,7.791666666666667,187.0
162,2023-03-13 01:00:00,1507.71,1468.7540624166754,1463.0872462022696,金叉,51.24000000000001,4,1.875,45.0
163,2023-03-15 05:30:00,1695.37,1711.6915135340846,1713.4255286456334,死叉,187.65999999999985,1,2.1875,52.5
164,2023-03-16 16:00:00,1651.83,1650.7974855231923,1650.725354779349,金叉,43.539999999999964,1,1.4375,34.5
167,2023-03-19 00:00:00,1773.24,1800.636005138385,1802.3190008516701,死叉,120.00999999999999,3,2.3333333333333335,56.0
178,2023-03-23 17:00:00,1751.61,1748.1490966074948,1747.982583076921,金叉,35.350000000000136,11,4.708333333333333,113.0
