sequence,open_time_china,close,ema9,ema26,crossover_type,price_diff_abs,sequence_interval,time_interval_days,time_interval_hours
5,2024-07-05 23:30:00,2990.99,2961.1154065835353,2957.8582553550013,金叉,470.9100000000003,0,0.0,0.0
26,2024-07-16 15:00:00,3395.77,3428.630279480512,3430.383494494123,死叉,199.75999999999976,21,10.645833333333334,255.5
55,2024-07-26 08:00:00,3180.58,3167.7114219129985,3167.399859654959,金叉,260.44000000000005,29,9.708333333333334,233.0
67,2024-08-02 06:00:00,3204.1,3158.151048571324,3155.6665497184995,金叉,86.32999999999993,12,6.916666666666667,166.0
69,2024-08-03 20:00:00,3012.89,2994.0986355128407,2993.975634685715,金叉,135.9100000000003,2,1.5833333333333333,38.0
71,2024-08-06 00:00:00,2514.3,2387.4109555332566,2375.879354438942,金叉,428.0999999999999,2,2.1666666666666665,52.0
78,2024-08-09 20:00:00,2625.48,2643.6356839962077,2644.90297706926,死叉,170.24000000000024,7,3.8333333333333335,92.0
88,2024-08-16 02:00:00,2557.11,2629.53811928989,2640.1605178563386,死叉,105.62999999999965,10,6.25,150.0
108,2024-08-25 06:00:00,2747.49,2771.957358958139,2772.851300161626,死叉,122.39999999999964,20,9.166666666666666,220.0
111,2024-08-28 18:30:00,2521.25,2495.26429932048,2493.4453576919163,金叉,235.5,3,3.5208333333333335,84.5
151,2024-09-17 13:30:00,2301.84,2289.587063069064,2288.536738650379,金叉,112.48999999999978,40,19.791666666666668,475.0
154,2024-09-21 12:30:00,2537.72,2544.414803615853,2545.243099564716,死叉,202.1199999999999,3,3.9583333333333335,95.0
177,2024-10-04 09:00:00,2372.23,2351.8925614368122,2350.3104504630114,金叉,238.00999999999976,23,12.854166666666666,308.5
198,2024-10-15 14:00:00,2605.35,2611.2911989483114,2611.8029622968597,死叉,121.88999999999987,21,11.208333333333334,269.0
202,2024-10-15 22:30:00,2568.01,2607.4945097946747,2609.9757220538077,死叉,103.16999999999962,4,0.3541666666666667,8.5
238,2024-10-30 09:00:00,2612.81,2626.9701307591936,2629.08489166867,死叉,92.86000000000013,36,14.4375,346.5
241,2024-11-01 21:00:00,2536.45,2522.78948585745,2520.704021653682,金叉,118.55000000000018,3,2.5,60.0
250,2024-11-11 04:30:00,3117.36,3178.775021600589,3184.382933452269,死叉,632.46,9,9.3125,223.5
256,2024-11-12 19:30:00,3282.42,3324.832740839545,3328.360200681718,死叉,99.61999999999989,6,1.625,39.0
258,2024-11-14 04:00:00,3177.39,3225.191444835064,3227.3741482232576,死叉,142.80999999999995,2,1.3541666666666667,32.5
261,2024-11-15 18:30:00,3100.79,3083.7614347035824,3082.9249427779423,金叉,101.72000000000025,3,1.6041666666666667,38.5
269,2024-11-19 00:00:00,3176.94,3115.040151106842,3106.07577414767,金叉,120.65999999999985,8,3.2291666666666665,77.5
278,2024-11-22 21:00:00,3265.96,3333.23860272441,3343.305284598943,死叉,147.96000000000004,9,3.875,93.0
279,2024-11-23 08:00:00,3353.34,3317.399858340336,3313.5241083204633,金叉,87.38000000000011,1,0.4583333333333333,11.0
286,2024-11-28 22:00:00,3557.82,3599.308357889575,3602.4049830774006,死叉,193.05000000000018,7,5.583333333333333,134.0
294,2024-12-01 20:00:00,3687.76,3693.38560845564,3694.24840226367,死叉,96.42000000000007,8,2.9166666666666665,70.0
304,2024-12-06 03:30:00,3830.81,3881.0838324341885,3886.7392489777767,死叉,219.02999999999975,10,4.3125,103.5
317,2024-12-10 18:30:00,3763.8,3744.0071792049243,3743.6983689988883,金叉,205.21000000000004,13,4.625,111.0
320,2024-12-13 03:30:00,3871.14,3921.243095942623,3923.1319920848437,死叉,205.32999999999993,3,2.375,57.0
337,2024-12-21 00:30:00,3383.18,3338.2574971128065,3331.6499504053795,金叉,460.84000000000015,17,7.875,189.0
340,2024-12-22 22:30:00,3277.94,3347.7969072634946,3357.585350441121,死叉,105.57000000000016,3,1.9166666666666667,46.0
347,2024-12-24 00:30:00,3374.67,3326.046196032864,3321.9646703693297,金叉,97.47000000000025,7,1.0833333333333333,26.0
348,2024-12-25 23:00:00,3466.49,3485.194314300974,3486.863727729777,死叉,91.81999999999971,1,1.9375,46.5
356,2024-12-30 21:30:00,3336.84,3393.6200054971955,3401.1451807513367,死叉,93.14999999999964,8,4.9375,118.5
