date,ah_value,crossover_count
2024-01-01,34.24555837563452,394
2024-01-16,38.0022896039604,404
2024-01-31,41.071210268948654,409
2024-02-16,43.59082278481014,395
2024-03-02,50.42415364583333,384
2024-03-17,59.70871621621622,370
2024-04-01,68.87586898395723,374
2024-04-17,80.67980501392759,359
2024-05-02,84.31369382022474,356
2024-05-17,87.89367897727274,352
2024-06-01,94.41530898876407,356
2024-06-16,97.28057971014496,345
2024-07-01,97.1457264957265,351
2024-07-16,100.21615497076026,342
2024-07-31,105.6844298245614,342
2024-08-15,111.27842565597669,343
2024-08-30,109.33335734870315,347
2024-09-14,103.92350852272727,352
2024-09-29,97.99373177842565,343
2024-10-14,92.4147660818713,342
2024-10-29,87.59378491620109,358
2024-11-13,93.41475644699136,349
2024-11-28,94.00803834808252,339
2024-12-13,95.32005649717507,354
2024-12-28,104.94161931818176,352
2025-01-12,105.41126760563374,355
2025-01-27,108.85476539589435,341
2025-02-11,108.67020057306583,349
2025-02-26,109.20932944606405,343
2025-03-13,117.06735905044502,337
2025-03-29,112.66946839080454,348
2025-04-13,113.70241477272721,352
2025-04-28,112.36384943181811,352
2025-05-13,107.33684210526307,361
2025-05-28,102.12526954177892,371
2025-06-12,99.97762803234494,371
2025-06-27,95.47399732620315,374
2025-07-12,90.36253405994546,367
2025-07-27,94.33223860589808,373
2025-08-11,97.66773972602738,365
2025-08-26,103.89133333333332,375
2025-09-10,104.09765415549597,373
2025-09-25,109.36736486486484,370
2025-10-10,112.38699460916442,371
